vote_pattern,num_examples,accuracy,precision,recall,f1,average_confidence,num_errors
0_YES_6_NO,203,0.9507389162561576,0.0,0.0,0.0,0.8131751022253365,10
1_YES_5_NO,160,0.88125,0.0,0.0,0.0,0.7432588825853841,19
2_YES_4_NO,116,0.7155172413793104,0.0,0.0,0.0,0.6914621696813229,33
3_YES_3_NO,104,0.5096153846153846,0.0,0.0,0.0,0.6505064503091434,51
4_YES_2_NO,144,0.6597222222222222,1.0,0.6597222222222222,0.7949790794979079,0.6715605556544324,49
5_YES_1_NO,148,0.8175675675675675,1.0,0.8175675675675675,0.8996282527881041,0.6816378682487623,27
6_YES_0_NO,163,0.8588957055214724,1.0,0.8588957055214724,0.9240924092409241,0.7235708750391793,23
