disagreement_group,num_examples,accuracy,precision,recall,f1,average_confidence,num_errors
full_agreement,366,0.9098360655737705,0.9333333333333333,0.8588957055214724,0.8945686900958466,0.7732693944894249,33
low_disagreement,308,0.8506493506493507,0.8642857142857143,0.8175675675675675,0.8402777777777778,0.713648784787267,46
medium_disagreement,260,0.6846153846153846,0.7421875,0.6597222222222222,0.6985294117647058,0.680439737297199,82
high_disagreement,104,0.5096153846153846,0.0,0.0,0.0,0.6505064503091434,51
